Unnamed: 0,name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,category,images,id
262,Extended Range One-Arm Kettlebell Floor Press,push,beginner,compound,kettlebells,chest,"shoulders, triceps","Berbaringlah di lantai dan posisikan kettlebell untuk satu lengan untuk menekan. Kettlebell harus dipegang oleh pegangan. Kaki di sisi yang sama dengan yang Anda tekan harus ditekuk, dengan lutut melintasi garis tengah tubuh., Tekan kettlebell dengan memperpanjang siku dan menumbuhkan lengan, Menekannya di atas tubuh Anda. Kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Extended_Range_One-Arm_Kettlebell_Floor_Press
263,External Rotation,pull,beginner,isolation,dumbbell,shoulders,,"Berbaringlah di bangku datar dengan satu lengan memegang dumbbell dan tangan lainnya di atas bangku terlipat sehingga Anda dapat mengistirahatkan kepala Anda di atasnya., Tekuk siku lengan yang memegang dumbbell sehingga menciptakan sudut 90 derajat antara lengan atas dan lengan bawah. Kiat: Jaga agar lengan tetap sejajar dengan tubuh Anda., Sekarang tekuk siku sambil menjaga stasioner lengan atas. Dengan cara ini, Lengan akan sejajar dengan lantai dan tegak lurus dengan tubuh Anda (tip: Jadi lengan akan langsung di depan Anda). Lengan atas akan stasioner oleh tubuh Anda dan harus sejajar dengan lantai (selaras dengan tubuh Anda setiap saat). Ini akan menjadi posisi awal Anda., Saat Anda bernafas, Putar lengan Anda secara eksternal sehingga dumbbell diangkat dalam gerakan setengah lingkaran saat Anda mempertahankan tikungan sudut 90 derajat antara lengan atas dan lengan bawah. Anda akan melanjutkan rotasi eksternal ini sampai lengan bawah tegak lurus ke lantai dan tubuh menunjuk ke arah langit -langit. Pada titik ini Anda akan memegang kontraksi sebentar., Saat Anda bernafas, Perlahan kembali ke posisi awal., Ulangi untuk jumlah pengulangan yang disarankan dan kemudian beralih ke lengan lainnya.",strength,"0.jpg, 1.jpg",External_Rotation
264,External Rotation with Band,pull,beginner,compound,bands,shoulders,,"Mencekik band di sekitar tiang. Band harus berada pada ketinggian yang sama dengan siku Anda. Berdiri dengan sisi kiri Anda ke band beberapa meter jauhnya., Pegang ujung band dengan tangan kanan Anda, Dan jaga siku Anda ditekan dengan kuat ke sisi Anda. Kami menyarankan Anda memegang bantalan atau gulungan busa di tempatnya dengan siku agar tetap kuat di posisinya., Dengan lengan atas Anda di posisinya, Siku Anda harus ditekuk hingga 90 derajat dengan tangan Anda mencapai di bagian depan tubuh Anda. Ini akan menjadi posisi awal Anda., Jalankan gerakan dengan memutar lengan Anda dengan gerakan backhand, menjaga siku Anda tetap di tempatnya., Lanjutkan sejauh yang Anda mampu, berhenti sebentar, dan kemudian kembali ke posisi awal.",strength,"0.jpg, 1.jpg",External_Rotation_with_Band
265,External Rotation with Cable,pull,beginner,isolation,cable,shoulders,,"Sesuaikan kabel dengan ketinggian yang sama dengan siku Anda. Berdiri dengan sisi kiri Anda ke band beberapa meter jauhnya., Pegang pegangan dengan tangan kanan Anda, Dan jaga siku Anda ditekan dengan kuat ke sisi Anda. Kami menyarankan Anda memegang bantalan atau gulungan busa di tempatnya dengan siku agar tetap kuat di posisinya., Dengan lengan atas Anda di posisinya, Siku Anda harus ditekuk hingga 90 derajat dengan tangan Anda mencapai di bagian depan tubuh Anda. Ini akan menjadi posisi awal Anda., Jalankan gerakan dengan memutar lengan Anda dengan gerakan backhand, menjaga siku Anda tetap di tempatnya.",strength,"0.jpg, 1.jpg",External_Rotation_with_Cable
266,Face Pull,pull,intermediate,compound,cable,shoulders,middle back,"Menghadap katrol tinggi dengan tali atau pegangan ganda terpasang, Tarik beban langsung ke arah wajah Anda, memisahkan tangan Anda saat Anda melakukannya. Jaga agar lengan atas Anda sejajar dengan tanah.",strength,"0.jpg, 1.jpg",Face_Pull
267,Farmers Walk,,intermediate,compound,other,forearms,"abdominals, glutes, hamstrings, lower back, quadriceps, traps","""Ada berbagai peralatan yang dapat digunakan untuk para petani berjalan. Ini juga dapat dilakukan dengan dumbbell berat atau bar pendek jika implementasi ini tersedia. Mulailah dengan berdiri di antara alat."", Setelah mencengkeram pegangan, Angkat mereka dengan mengemudi melalui tumit Anda, Menjaga punggung Anda tetap lurus dan kepala Anda., ""Berjalan singkat, Langkah cepat, dan jangan lupa untuk bernafas. Bergerak untuk jarak tertentu, biasanya 50-100 kaki, secepat mungkin. """,strongman,"0.jpg, 1.jpg",Farmers_Walk
268,Fast Skipping,push,beginner,compound,body only,quadriceps,"abductors, adductors, calves, glutes, hamstrings","Mulailah dalam posisi santai dengan satu kaki sedikit ke depan. Ini akan menjadi posisi awal Anda., Lewati dengan mengeksekusi pola tiri-hop langkah kanan-kanan ke kiri-langkah, dan sebagainya, bergantian bolak -balik., Lakukan lompatan cepat dengan menjaga kontak dekat dengan tanah dan mengurangi waktu udara, bergerak secepat mungkin.",plyometrics,"0.jpg, 1.jpg",Fast_Skipping
269,Finger Curls,pull,beginner,isolation,barbell,forearms,,"Pegang barbel dengan kedua tangan dan telapak tangan Anda menghadap ke atas; Tangan berjarak sekitar lebar bahu., Tempatkan kaki Anda rata di lantai, Pada kejauhan yang sedikit lebih lebar dari lebar bahu terpisah. Ini akan menjadi posisi awal Anda., Turunkan bilah sejauh mungkin dengan memperpanjang jari. Membiarkan bilah menggulung tangan, Tangkap bar dengan sambungan terakhir di jari., Sekarang keriting bar setinggi mungkin dengan menutup tangan Anda saat menghembuskan napas. Tahan kontraksi di atas.",strength,"0.jpg, 1.jpg",Finger_Curls
270,Flat Bench Cable Flyes,push,intermediate,isolation,cable,chest,,"Posisikan bangku datar antara dua katrol rendah sehingga saat Anda berbaring di atasnya, Dada Anda akan berbaris dengan katrol kabel., Berbaring rata di bangku dan jaga kaki Anda di tanah., Mintalah seseorang menyerahkan pegangan di masing -masing tangan. Anda akan mengambil setiap lampiran pegangan tunggal dengan genggaman telapak tangan., Perpanjang lengan Anda di sisi Anda dengan sedikit tikungan di siku. Kiat: Anda akan menjaga tikungan ini konstan melalui seluruh gerakan. Lengan Anda harus sejajar dengan lantai. Ini adalah posisi awal Anda., Sekarang mulailah mengangkat lengan dalam gerakan setengah lingkaran langsung di depan Anda dengan menyatukan kabel sampai kedua tangan bertemu di bagian atas gerakan. Peras dada Anda saat Anda melakukan gerakan ini dan bernafas selama gerakan ini. Juga, Tahan kontraksi sejenak di atas. Kiat: Saat dilakukan dengan benar, di posisi teratas gerakan ini, Lengan Anda harus tegak lurus terhadap tubuh Anda dan lantai menyentuh di atas dada Anda., Perlahan kembali ke posisi awal., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Flat_Bench_Cable_Flyes
271,Flat Bench Leg Pull-In,pull,beginner,compound,body only,abdominals,,"Berbaringlah di atas tikar olahraga atau bangku datar dengan kaki dari ujungnya., Tempatkan tangan Anda di bawah glutes Anda dengan telapak tangan ke bawah atau di samping berpegangan pada bangku (atau dengan telapak tangan di samping di samping tikar olahraga). Perpanjang kaki Anda juga lurus. Ini akan menjadi posisi awal Anda., Tekuk lutut Anda dan tarik paha atas Anda ke bagian tengah tubuh saat Anda bernafas. Lanjutkan gerakan ini sampai lutut Anda berada di dekat dada Anda. Pegang posisi yang dikontrak sebentar., Saat Anda bernafas, Perlahan kembali ke posisi awal., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Flat_Bench_Leg_Pull-In
272,Flat Bench Lying Leg Raise,pull,beginner,isolation,body only,abdominals,,"Berbaringlah dengan punggung rata di bangku dan kaki Anda diperpanjang di depan Anda dari ujungnya., Tempatkan tangan Anda di bawah glutes Anda dengan telapak tangan ke bawah atau di samping memegang ke bangku. Ini akan menjadi posisi awal Anda., Saat Anda menjaga kaki Anda diperpanjang, Lurus mungkin dengan lutut Anda sedikit ditekuk tetapi terkunci angkat kaki Anda sampai mereka membuat sudut 90 derajat dengan lantai. Buang napas saat Anda melakukan bagian gerakan ini dan tahan kontraksi di atas selama sedetik., Sekarang, Saat Anda menghirup, Perlahan turunkan kaki Anda kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Flat_Bench_Lying_Leg_Raise
273,Flexor Incline Dumbbell Curls,pull,beginner,isolation,dumbbell,biceps,,"Pegang halter ke arah sisi lebih jauh dari Anda sehingga Anda memiliki lebih banyak berat di sisi terdekat dengan Anda. (Ini dapat dilakukan untuk efek yang baik pada semua latihan dumbbell bisep). Sekarang lakukan ikal dumbbell yang tidak miring normal, Tetapi jaga pergelangan tangan Anda sejauh mungkin untuk menetralkan stres yang ditempatkan pada mereka., Duduklah di bangku kemiringan yang miring pada 45 derajat sambil memegang dumbbell di masing-masing tangan., Biarkan lengan Anda menggantung di sisi Anda, dengan siku di, Dan putar telapak tangan ke depan dengan ibu jari yang menunjuk menjauh dari tubuh. Kiat: Anda akan menjaga posisi tangan ini di seluruh gerakan karena tidak boleh ada memutar tangan saat mereka muncul. Ini akan menjadi posisi awal Anda., Gulung kedua dumbel pada saat yang sama sampai bisep Anda sepenuhnya dikontrak dan buang napas. Kiat: Jangan mengayunkan lengan atau menggunakan momentum. Simpan gerakan terkontrol setiap saat. Tahan posisi yang dikontrak sejenak di atas., Saat Anda menghirup, Perlahan kembali ke posisi awal., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Flexor_Incline_Dumbbell_Curls
274,Floor Glute-Ham Raise,pull,intermediate,isolation,body only,hamstrings,"calves, glutes","Anda dapat menggunakan pasangan untuk latihan ini atau menguatkan kaki Anda di bawah sesuatu yang stabil., Mulailah berlutut dengan kaki bagian atas dan tubuh tegak. Jika menggunakan pasangan, Mereka akan memegang kaki Anda dengan kuat untuk membuat Anda tetap pada posisi. Ini akan menjadi posisi awal Anda., Turunkan diri Anda dengan memanjang di lutut, Berhati -hatilah untuk tidak melenturkan pinggul saat Anda maju., Tempatkan tangan Anda di depan Anda saat Anda mencapai lantai. Gerakan ini sangat sulit dan Anda mungkin tidak dapat melakukannya tanpa bantuan. Gunakan lengan Anda untuk mendorong dengan ringan dari lantai untuk membantu Anda kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Floor_Glute-Ham_Raise
275,Floor Press,push,intermediate,compound,barbell,triceps,"chest, shoulders","Sesuaikan J-Hooks sehingga mereka berada pada ketinggian yang sesuai untuk memeras bar. Mulailah berbaring di lantai dengan kepala di dekat ujung rak listrik. Menjaga bahu Anda disatukan; Tarik bar dari kait., Turunkan batang ke arah bagian bawah dada atau perut bagian atas, meremas bar dan mencoba untuk memisahkannya saat Anda melakukannya. Pastikan Anda menyelipkan siku di seluruh gerakan. Turunkan batang sampai lengan atas Anda menghubungi tanah dan jeda, mencegah pembantaian atau memantul dari berat badan., Tekan bar kembali secepat mungkin, menjaga bar, pergelangan tanganmu, dan siku sejalan saat Anda melakukannya.",powerlifting,"0.jpg, 1.jpg",Floor_Press
276,Floor Press with Chains,push,intermediate,compound,barbell,triceps,"chest, shoulders","Sesuaikan J-Hooks sehingga mereka berada pada ketinggian yang sesuai untuk memeras bar. Untuk latihan ini, Tirai rantai langsung di ujung bar, Mencoba menjauhkan ujung dari piring., Mulailah berbaring di lantai dengan kepala di dekat ujung rak listrik. Menjaga bahu Anda tetap bersatu, Tarik bar dari kait., Turunkan batang ke arah bagian bawah dada atau perut bagian atas, meremas bar dan mencoba untuk memisahkannya saat Anda melakukannya. Pastikan Anda menyelipkan siku di seluruh gerakan. Turunkan batang sampai lengan atas Anda menghubungi tanah dan jeda, mencegah pembantaian atau memantul dari berat badan., Tekan bar kembali secepat mungkin, menjaga bar, pergelangan tanganmu, dan siku sejalan saat Anda melakukannya.",powerlifting,"0.jpg, 1.jpg",Floor_Press_with_Chains
277,Flutter Kicks,pull,beginner,compound,body only,glutes,hamstrings,"Di bangku datar berbohong dengan wajah di tepi bangku cadangan, Kaki lurus dengan jari -jari kaki tinggi dari lantai dan dengan lengan di atas bangku memegang ke tepi depan., Peras glutes dan hamstring Anda dan meluruskan kaki sampai sejajar dengan pinggul. Ini akan menjadi posisi awal Anda., Mulailah gerakan dengan mengangkat kaki kiri lebih tinggi dari kaki kanan., Kemudian turunkan kaki kiri saat Anda mengangkat kaki kanan., Lanjutkan bergantian dengan cara ini (seolah -olah Anda sedang melakukan tendangan berkobar di air) sampai Anda telah melakukan jumlah pengulangan yang disarankan untuk setiap kaki. Pastikan Anda menyimpan gerakan terkontrol setiap saat. Kiat: Anda akan bernafas secara normal saat Anda melakukan gerakan ini.",strength,"0.jpg, 1.jpg",Flutter_Kicks
278,Foot-SMR,static,intermediate,,other,calves,,"Latihan ini merentangkan fasia otot -otot di kaki. Mulailah duduk dengan sepatu Anda dilepas. Menggunakan roller kaki atau objek serupa, seperti bagian kecil dari pipa PVC, Tempatkan kaki Anda di atas roller di atas lengkungan kaki Anda. Ini akan menjadi posisi awal Anda., Tekan dengan kuat, Berguling melintasi lengkungan kaki Anda. Tahan selama 10-30 detik, dan kemudian beralih kaki.",stretching,"0.jpg, 1.jpg",Foot-SMR
279,Forward Drag with Press,push,intermediate,compound,other,chest,"calves, glutes, hamstrings, quadriceps, shoulders, triceps","Pasang rantai yang ditangani ganda atau perlekatan tali ke kereta luncur. Anda harus menghadap jauh dari kereta luncur, memegang pegangan di masing -masing tangan., Mulailah gerakan dengan bergerak maju untuk satu langkah. Condong ke depan, Perpanjang melalui kaki dan pinggul untuk bergerak, berhenti dengan setiap langkah untuk memperpanjang melalui siku, Menekan tangan Anda ke depan. Langkah maju sampai Anda kembali ke posisi start siap untuk menekan.",strongman,"0.jpg, 1.jpg",Forward_Drag_with_Press
280,Frankenstein Squat,push,intermediate,compound,barbell,quadriceps,"abdominals, calves, glutes, hamstrings","Bor ini mengajarkan Anda posisi yang tepat dari bar dan tubuh Anda selama jongkok bersih dan depan., ""Tempatkan barbel di bagian depan bahu, Melepaskan cengkeraman Anda dan mengulurkan lengan Anda di depan Anda. Bahu harus didorong ke depan untuk membuat rak, dan bilah harus bersentuhan dengan tenggorokan. Pastikan Anda hanya menggerakkan pisau bahu ke depan; jangan mengitari tulang belakang toraks. "", Jongkok dengan menekuk lutut dan pinggul, Duduk di antara kedua kaki Anda. Jaga agar tubuh tetap tegak, lengan ke atas, dan bahu ke depan, Dan bar harus tetap di tempatnya. Pergi ke bagian bawah jongkok, Sampai paha belakang Anda hubungi betis Anda., Kembali ke posisi tegak dengan mengemudi melalui bagian depan tumit dan memperpanjang lutut dan pinggul.",olympic weightlifting,"0.jpg, 1.jpg",Frankenstein_Squat
281,Freehand Jump Squat,push,intermediate,compound,body only,quadriceps,"calves, glutes, hamstrings","Silangkan tangan Anda di atas dada Anda., Dengan kepala ke atas dan punggung lurus, Posisikan kaki Anda pada lebar bahu., Menjaga punggung tetap lurus dan dada, Jongkok saat Anda menghirup sampai paha atas Anda paralel, atau lebih rendah, ke lantai., Sekarang menekan terutama dengan bola kaki Anda, melompat lurus ke udara setinggi mungkin, Menggunakan paha seperti mata air. Buang napas selama bagian gerakan ini., Saat Anda menyentuh lantai lagi, Segera berjongkok dan melompat lagi., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Freehand_Jump_Squat
282,Frog Hops,push,intermediate,compound,body only,quadriceps,"calves, glutes, hamstrings","Berdiri dengan tangan di belakang kepala, dan berjongkok menjaga tubuh Anda tetap tegak dan kepala Anda. Ini akan menjadi posisi awal Anda., Melompat ke depan beberapa kaki, Menghindari melompat tinggi yang tidak perlu. Saat kaki Anda menghubungi tanah, menyerap dampak melalui kaki Anda, dan melompat lagi. Ulangi tindakan ini 5-10 kali.",stretching,"0.jpg, 1.jpg",Frog_Hops
283,Frog Sit-Ups,pull,intermediate,isolation,body only,abdominals,,"Berbaringlah dengan punggung rata di lantai (atau tikar olahraga) dan kaki Anda diperpanjang di depan Anda., Sekarang tekuk di lutut dan letakkan paha luar Anda di lantai (atau tikar) saat Anda membuat telapak kaki Anda saling bersentuhan., Sekarang cobalah mendorong kedua sol dan bawa mereka sedekat mungkin saat Anda menjaga paha luar di lantai (atau setidaknya hampir menyentuhnya). Kiat: Dalam posisi ini kaki Anda harus membuat bentuk berlian., Sekarang, Silangkan lengan Anda di depan Anda dengan menyentuh bahu yang berlawanan. Ini akan menjadi posisi awal Anda., Saat Anda menghembuskan napas, ratakan punggung bawah Anda ke lantai sambil meringkuk tubuh ke atas. Kiat: Ini akan seperti melakukan gerakan 1/4 pertama dari duduk. Tahan di posisi teratas sebentar., Saat Anda menghirup, Perlahan bagian bawah ke posisi awal., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Frog_Sit-Ups
284,Front Barbell Squat,push,expert,compound,barbell,quadriceps,"calves, glutes, hamstrings","Latihan ini dilakukan paling baik di dalam rak jongkok untuk tujuan keselamatan. Untuk memulai, Pertama -tama atur bar di rak yang paling cocok dengan tinggi Anda. Setelah ketinggian yang benar dipilih dan batang dimuat, Bawa lengan Anda di bawah bar sambil menjaga siku tetap tinggi dan lengan atas sedikit di atas paralel dengan lantai. Istirahatlah di atas deltoids dan silangkan lengan Anda sambil menggenggam bilah untuk kontrol total., Angkat bar dari rak dengan terlebih dahulu mendorong kaki Anda dan pada saat yang sama meluruskan tubuh Anda., Langkah menjauh dari rak dan posisikan kaki Anda menggunakan sikap medium lebar bahu dengan jari -jari kaki sedikit menunjuk. Pertahankan kepala Anda setiap saat karena melihat ke bawah akan membuat Anda tidak seimbang dan juga mempertahankan punggung lurus. Ini akan menjadi posisi awal Anda. (Catatan: Untuk keperluan diskusi ini, kami akan menggunakan sikap menengah yang dijelaskan di atas yang menargetkan pengembangan secara keseluruhan; namun Anda dapat memilih salah satu dari tiga sikap yang dijelaskan di bagian penentuan posisi kaki)., Mulailah menurunkan batang dengan membengkokkan lutut saat Anda mempertahankan postur lurus dengan kepala ke atas. Lanjutkan ke bawah sampai sudut antara kaki bagian atas dan anak sapi menjadi sedikit kurang dari 90 derajat (yang merupakan titik di mana kaki bagian atas di bawah paralel dengan lantai). Tarik napas saat Anda melakukan bagian gerakan ini. Kiat: Jika Anda melakukan latihan dengan benar, Bagian depan lutut harus membuat garis lurus imajiner dengan jari kaki yang tegak lurus ke bagian depan. Jika lutut Anda melewati garis imajiner (jika mereka melewati jari kaki Anda) maka Anda menempatkan stres yang tidak semestinya pada lutut dan latihan telah dilakukan secara tidak benar., Mulailah menaikkan bar saat Anda menghembuskan napas dengan mendorong lantai terutama dengan bagian tengah kaki Anda saat Anda meluruskan kaki lagi dan kembali ke posisi awal., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Front_Barbell_Squat
285,Front Barbell Squat To A Bench,push,expert,compound,barbell,quadriceps,"calves, glutes, hamstrings","Latihan ini dilakukan paling baik di dalam rak jongkok untuk tujuan keselamatan. Untuk memulai, Pertama -tama atur bangku datar di belakang Anda dan atur bar di rak yang paling cocok dengan tinggi Anda. Setelah ketinggian yang benar dipilih dan batang dimuat, Bawa lengan Anda di bawah bar sambil menjaga siku tetap tinggi dan lengan atas sedikit di atas paralel dengan lantai. Istirahatlah di atas deltoids dan silangkan lengan Anda sambil menggenggam bilah untuk kontrol total., Angkat bar dari rak dengan terlebih dahulu mendorong kaki Anda dan pada saat yang sama meluruskan tubuh Anda., Langkah menjauh dari rak dan posisikan kaki Anda menggunakan sikap medium lebar bahu dengan jari -jari kaki sedikit menunjuk. Pertahankan kepala Anda setiap saat karena melihat ke bawah akan membuat Anda tidak seimbang dan juga mempertahankan punggung lurus. Ini akan menjadi posisi awal Anda. (Catatan: Untuk keperluan diskusi ini, kami akan menggunakan sikap menengah yang dijelaskan di atas yang menargetkan pengembangan secara keseluruhan; namun Anda dapat memilih salah satu dari tiga sikap yang dijelaskan di bagian penentuan posisi kaki)., Mulailah menurunkan batang dengan membengkokkan lutut saat Anda mempertahankan postur lurus dengan kepala ke atas. Lanjutkan ke bawah sampai Anda menyentuh bangku dengan glutes Anda. Tarik napas saat Anda melakukan bagian gerakan ini. Kiat: Jika Anda melakukan latihan dengan benar, Bagian depan lutut harus membuat garis lurus imajiner dengan jari kaki yang tegak lurus ke bagian depan. Jika lutut Anda melewati garis imajiner (jika mereka melewati jari kaki Anda) maka Anda menempatkan stres yang tidak semestinya pada lutut dan latihan telah dilakukan secara tidak benar., Mulailah menaikkan bar saat Anda menghembuskan napas dengan mendorong lantai terutama dengan tumit kaki Anda saat Anda meluruskan kaki lagi dan kembali ke posisi awal., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Front_Barbell_Squat_To_A_Bench
286,Front Box Jump,push,beginner,compound,other,hamstrings,"abductors, adductors, calves, glutes, quadriceps","Mulailah dengan sekotak tinggi yang sesuai 1-2 kaki di depan Anda. Berdirilah dengan kaki Anda harus terpisah lebar. Ini akan menjadi posisi awal Anda., Lakukan jongkok pendek dalam persiapan untuk melompat, Mengayunkan lengan di belakang Anda., Rebound dari posisi ini, Memperpanjang melalui pinggul, lutut, dan pergelangan kaki melompat setinggi mungkin. Ayunkan lengan ke depan dan ke atas., Mendarat di atas kotak dengan lutut ditekuk, menyerap dampak melalui kaki. Anda dapat melompat dari kotak kembali ke tanah, atau lebih disukai mundur satu kaki pada satu waktu.",plyometrics,"0.jpg, 1.jpg",Front_Box_Jump
287,Front Cable Raise,push,beginner,isolation,cable,shoulders,,"Pilih berat pada mesin katrol rendah dan pegang perlekatan kabel satu tangan yang terpasang pada katrol rendah dengan tangan kiri Anda., ""Wajah jauh dari katrol dan letakkan lenganmu lurus ke bawah dengan lampiran kabel tangan di depan paha Anda dengan panjang lengan dengan telapak tangan yang menghadap ke paha Anda. Ini akan menjadi posisi awal Anda."", Sambil mempertahankan stasioner tubuh (tidak ada ayunan), Angkat lengan kiri ke depan dengan sedikit tikungan di siku dan telapak tangan selalu menghadap ke bawah. Terus naik sampai lengan Anda sedikit di atas paralel dengan lantai. Buang napas saat Anda menjalankan bagian gerakan ini dan berhenti sejenak di bagian atas., Sekarang saat Anda menghirup lengan turun perlahan ke posisi awal., Setelah semua jumlah pengulangan yang disarankan telah dilakukan untuk lengan ini, Ganti lengan dan lakukan latihan dengan yang tepat.",strength,"0.jpg, 1.jpg",Front_Cable_Raise
288,Front Cone Hops (or hurdle hops),push,beginner,compound,other,quadriceps,"abductors, adductors, calves, glutes, hamstrings","Siapkan deretan kerucut atau hambatan kecil lainnya, menempatkan mereka terpisah beberapa meter., Berdiri di depan kerucut pertama dengan kaki bahu terpisah. Ini akan menjadi posisi awal Anda., Mulailah dengan melompat dengan kedua kaki di atas kerucut pertama, Mengayunkan kedua lengan saat Anda melompat., Menyerap dampak pendaratan dengan menekuk lutut, Rebound keluar dari lompatan pertama dengan melompati kerucut berikutnya., Lanjutkan sampai Anda melompati semua kerucut.",plyometrics,"0.jpg, 1.jpg",Front_Cone_Hops_or_hurdle_hops
289,Front Dumbbell Raise,push,beginner,isolation,dumbbell,shoulders,,"Pilih beberapa dumbel dan berdiri dengan tubuh lurus dan dumbel di depan paha Anda dengan panjang lengan dengan telapak tangan menghadap paha Anda. Ini akan menjadi posisi awal Anda., Sambil mempertahankan stasioner tubuh (tidak ada ayunan), Angkat dumbbell kiri ke depan dengan sedikit tikungan di siku dan telapak tangan selalu menghadap ke bawah. Terus naik sampai lengan Anda sedikit di atas paralel dengan lantai. Buang napas saat Anda menjalankan bagian gerakan ini dan berhenti sejenak di bagian atas. Tarik napas setelah jeda kedua., Sekarang turunkan dumbbell kembali perlahan ke posisi awal saat Anda secara bersamaan mengangkat dumbbell kanan., Lanjutkan bergantian dengan cara ini sampai semua jumlah pengulangan yang disarankan telah dilakukan untuk setiap lengan.",strength,"0.jpg, 1.jpg",Front_Dumbbell_Raise
290,Front Incline Dumbbell Raise,push,beginner,isolation,dumbbell,shoulders,,"Duduklah di bangku kemiringan dengan kemiringan yang diatur di mana saja antara 30 hingga 60 derajat sambil memegang dumbbell di masing -masing tangan. Kiat: Anda dapat mengubah sudut untuk memukul otot sedikit berbeda setiap kali., Perpanjang lengan Anda lurus di depan Anda dan minta telapak tangan Anda menghadap ke bawah dengan dumbel terangkat sekitar 1 inci di atas paha Anda. Ini akan menjadi posisi awal Anda., Perlahan angkat dumbel lurus ke atas sampai sedikit di atas bahu Anda, Sambil menjaga siku terkunci. Peras ke atas sebentar dan pastikan Anda bernafas selama bagian gerakan ini. Kiat: Jaga agar kepala Anda beristirahat di bangku dan kaki Anda di lantai setiap saat., Turunkan lengan kembali ke posisi awal saat Anda menghirup., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Front_Incline_Dumbbell_Raise
291,Front Leg Raises,pull,beginner,,body only,hamstrings,,"Berdiri di sebelah kursi atau dukungan lainnya, berpegangan dengan satu tangan., Ayunkan kaki Anda ke depan, menjaga kaki tetap lurus. Lanjutkan dengan ayunan ke bawah, Membawa kaki sejauh fleksibilitas Anda memungkinkan. Ulangi 5-10 kali, dan kemudian beralih kaki.",stretching,"0.jpg, 1.jpg",Front_Leg_Raises
292,Front Plate Raise,push,intermediate,isolation,other,shoulders,,"""Sambil berdiri tegak, Pegang piring barbell di kedua tangan di posisi 3 dan 9 oclock. Telapak tangan Anda harus saling berhadapan dan lengan Anda harus diperpanjang dan dikunci dengan sedikit tikungan di siku dan piring harus turun di dekat pinggang Anda di depan Anda sejauh yang Anda bisa. Kiat: Lengan akan tetap berada di posisi ini selama latihan. Ini akan menjadi posisi awal Anda. "", Perlahan angkat piring saat Anda menghembuskan napas sampai sedikit di atas tingkat bahu. Tahan kontraksi sebentar. Kiat: Pastikan Anda tidak mengayunkan berat atau menekuk siku. Tubuh Anda juga harus tetap diam di seluruh gerakan., Saat Anda menghirup, Perlahan turunkan pelat kembali ke posisi awal., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Front_Plate_Raise
293,Front Raise And Pullover,pull,beginner,compound,barbell,chest,"lats, shoulders, triceps","Berbaringlah di bangku datar sambil memegang barbel menggunakan genggaman telapak tangan yang terpisah sekitar 15 inci., Tempatkan bilah di paha atas Anda, Perpanjang lengan Anda dan kunci sambil menjaga sedikit tikungan di siku. Ini akan menjadi posisi awal Anda., Sekarang angkat beban menggunakan gerakan setengah lingkaran dan jaga lengan Anda tetap lurus saat Anda menghirup. Lanjutkan gerakan yang sama sampai bilah berada di sisi lain di atas kepala Anda. (Tip: Bar akan menempuh sekitar 180 derajat). Pada titik ini lengan Anda harus sejajar dengan lantai dengan telapak tangan Anda menghadap ke langit -langit., Sekarang kembalikan barbel ke posisi awal dengan membalikkan gerakan saat Anda menghembuskan napas., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Front_Raise_And_Pullover
