ID Program,Nama Program Latihan,Deskripsi Program,Jenis Latihan Program,Tujuan Latihan,Durasi Program (menit),Tempat Program,Peralatan Program (Ya/Tidak),Tingkat Kebugaran Program,Waktu Ideal Program,video_url,Target Gender,Rentang Usia
55,Tree Trunk Push Up,"Tree Trunk Push Up adalah variasi *incline push up* yang dilakukan dengan menempatkan tangan pada batang pohon yang stabil. Ketinggian batang pohon dapat bervariasi, memungkinkan Anda menyesuaikan tingkat kesulitan. Ini adalah cara alami untuk melatih dada, bahu, dan trisep di lingkungan hutan atau taman. Lakukan 3 set berisi 12 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,,25,Outdoor,Tidak,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=S0QpS_z5lUs,Laki-laki,18-25 Tahun
56,Uneven Ground Push Up,"Uneven Ground Push Up dilakukan di permukaan tanah yang tidak rata, seperti di taman dengan sedikit gundukan atau lubang. Ini secara signifikan menantang stabilitas sendi bahu dan inti, karena tubuh harus bekerja lebih keras untuk menjaga keseimbangan. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik antar set.",Kekuatan,Menjaga kesehatan,30,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=G3c0yW7y0g8,Laki-laki,26-35 Tahun
60,Forest Floor Push Up,"Forest Floor Push Up adalah latihan push up standar yang dilakukan di permukaan tanah hutan. Meskipun terlihat sederhana, permukaan yang mungkin tidak rata dan kontak langsung dengan alam dapat memberikan pengalaman latihan yang berbeda dan menenangkan. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Menjaga kesehatan,25,Outdoor,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=mY9z6m0g8M0,Laki-laki,18-25 Tahun
61,Pull Up Bar Hang,"Pull Up Bar Hang adalah latihan dasar yang sangat efektif untuk membangun kekuatan genggaman dan daya tahan lengan. Cukup gantungkan diri Anda dari *pull up bar* dengan kedua tangan, biarkan tubuh menggantung bebas. Ini adalah latihan pemanasan yang bagus atau sebagai bagian dari rutinitas peningkatan kekuatan genggaman. Tahan selama 30-60 detik per set, lakukan 3 set secara total.",Kekuatan,Menjaga kesehatan,15,Outdoor,Ya,Pemula,Kapan saja,https://www.youtube.com/watch?v=Gj9qU2sU99U,Laki-laki,18-25 Tahun
62,Standard Pull Up (Outdoor Bar),"Standard Pull Up di *outdoor bar* adalah latihan inti di taman kebugaran. Ini menargetkan otot punggung (latissimus dorsi), bisep, dan bahu. Udara segar dan lingkungan *outdoor* dapat meningkatkan pengalaman latihan. Bertujuan untuk melakukan 3 set sebanyak mungkin repetisi (AMRAP) dengan form yang baik, dengan istirahat 2 menit di antara set untuk pemulihan maksimal.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=eW4sYpQc_j8,Laki-laki,26-35 Tahun
63,Chin Up (Outdoor Bar),"Chin Up di *outdoor bar* adalah variasi pull-up dengan genggaman *supinated* (telapak tangan menghadap ke arah Anda) yang sedikit lebih sempit dari lebar bahu. Latihan ini lebih menekankan otot bisep dan punggung bagian bawah. Ideal untuk melengkapi rutinitas pull-up standar. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik di antara set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=brhRU7LqV3Q,Semua Gender,18-25 Tahun
64,Wide Grip Pull Up (Outdoor Bar),"Wide Grip Pull Up di *outdoor bar* dilakukan dengan genggaman *pronated* yang jauh lebih lebar dari lebar bahu. Ini sangat efektif untuk menargetkan otot latissimus dorsi (punggung lebar), membantu membangun tampilan punggung yang lebih lebar. Lakukan 3 set sebanyak mungkin repetisi (AMRAP) dengan form yang baik, dengan istirahat 2 menit di antara set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=T_sIugq9W4U,Laki-laki,26-35 Tahun
65,Parallel Bar Dips (Assisted Push Up),"Parallel Bar Dips adalah latihan yang sangat efektif untuk melatih dada bagian bawah, trisep, dan bahu depan. Di taman *outdoor* dengan *parallel bar*, Anda bisa melakukan *dips* penuh atau dibantu dengan kaki untuk mengurangi beban. Ini adalah gerakan mendorong yang komplementer dengan push up. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=k_v6p0_8K_Q,Laki-laki,26-35 Tahun
66,L-Sit Pull Up (Outdoor Bar),"L-Sit Pull Up di *outdoor bar* menggabungkan pull up standar dengan menahan posisi L-Sit (kaki lurus di depan dan sejajar dengan lantai) sepanjang gerakan. Ini secara intens melatih otot inti (perut), paha depan, dan fleksor pinggul, selain otot punggung dan bisep. Lakukan 3 set sebanyak mungkin repetisi (AMRAP) dengan form yang baik, dengan istirahat 2 menit antar set.",Kekuatan,Meningkatkan massa otot,35,Outdoor,Ya,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=b4wS9W7xQ9A,Laki-laki,26-35 Tahun
67,Muscle Up (Outdoor Bar),"Muscle Up di *outdoor bar* adalah gerakan lanjutan yang mengombinasikan pull-up ke atas bar, diikuti dengan transisi ke posisi *dip* di atas bar. Ini membutuhkan kekuatan eksplosif, koordinasi, dan kekuatan yang signifikan pada punggung, bahu, dan trisep. Lakukan 3 set berisi 3 repetisi, dengan istirahat 2 menit antar set karena ini adalah gerakan yang sangat menantang.",Kekuatan,Meningkatkan massa otot,40,Outdoor,Ya,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=Fj-y5-U4mQc,Laki-laki,26-35 Tahun
68,One Arm Pull Up (Outdoor Bar),"One Arm Pull Up di *outdoor bar* adalah puncak dari kekuatan menarik tubuh bagian atas. Ini melibatkan menarik seluruh berat badan Anda ke atas hanya dengan satu lengan. Ini membutuhkan kekuatan dan stabilitas yang luar biasa pada punggung, bisep, dan inti. Lakukan 3 set berisi 1-2 repetisi per lengan, dengan istirahat 3 menit antar set karena intensitasnya yang ekstrem.",Kekuatan,Meningkatkan massa otot,45,Outdoor,Ya,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=hG_e7lR00oM,Laki-laki,26-35 Tahun
70,Tree Branch Pull Up,"Tree Branch Pull Up adalah cara alami untuk melakukan pull up menggunakan dahan pohon yang kuat dan stabil. Pastikan dahan sangat kokoh dan cukup tinggi. Ini bisa memberikan genggaman yang berbeda dari bar logam dan melibatkan lebih banyak otot stabilisator. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=eW4sYpQc_j8,Laki-laki,26-35 Tahun
72,Weighted Pull Up (Backpack) Outdoor,"Weighted Pull Up (Backpack) di *outdoor bar* adalah cara untuk meningkatkan intensitas pull up dengan menambahkan beban tambahan, biasanya dengan mengenakan ransel berisi barang berat. Ini adalah metode yang bagus untuk terus menantang otot punggung dan bisep Anda saat pull-up standar menjadi terlalu mudah. Lakukan 3 set berisi 5 repetisi, dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=MhYc-hN1uN0,Laki-laki,26-35 Tahun
73,Negative Pull Up (Outdoor Bar),"Negative Pull Up di *outdoor bar* adalah cara yang efektif untuk membangun kekuatan pull up di lingkungan *outdoor*. Anda melompat ke posisi atas pull up dan kemudian secara perlahan menurunkan tubuh ke bawah dalam gerakan terkontrol selama beberapa detik. Ini fokus pada fase eksentrik dan sangat membantu dalam progres pull up. Lakukan 3 set berisi 5 repetisi, dengan istirahat 2 menit antar set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=Lq1t8aQJ68s,Laki-laki,26-35 Tahun
74,Scapular Pull Up (Outdoor Bar),"Scapular Pull Up di *outdoor bar* adalah latihan yang berfokus pada gerakan tulang belikat tanpa menekuk siku secara signifikan. Anda bergantung pada bar dan menarik tubuh sedikit ke atas hanya dengan menarik tulang belikat ke bawah. Ini membantu meningkatkan kontrol motorik dan memperkuat otot-otot stabilisator di sekitar skapula, penting untuk kesehatan bahu dan kinerja pull up. Lakukan 3 set berisi 10 repetisi, dengan istirahat 45 detik antar set.",Kekuatan,Menjaga kesehatan,20,Outdoor,Ya,Pemula,Kapan saja,https://www.youtube.com/watch?v=X8T-W8088r0,Laki-laki,18-25 Tahun
76,Resistance Band Assisted Pull Up (Outdoor),"Resistance Band Assisted Pull Up di *outdoor* menggunakan *resistance band* yang diikat pada *pull up bar* dan melingkari kaki Anda. *Band* ini akan memberikan bantuan saat menarik tubuh ke atas, memungkinkan Anda untuk berlatih gerakan pull up penuh dengan beban yang lebih ringan. Ini adalah alat yang sangat baik untuk progresif pull up di lingkungan *outdoor*. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Outdoor,Ya,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=Xw8e05n9sI8,Laki-laki,18-25 Tahun
77,Leg Assisted Pull Up (Outdoor),"Leg Assisted Pull Up di *outdoor* melibatkan penggunaan kaki untuk membantu mendorong tubuh ke atas saat melakukan pull up di *outdoor bar*. Anda bisa menggunakan bangku taman, struktur rendah, atau bahkan sedikit melompat. Bantuan dari kaki memungkinkan Anda untuk melakukan lebih banyak repetisi dan membangun kekuatan secara bertahap. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik di antara set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Ya,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=kYvM-xSYqQ0,Laki-laki,18-25 Tahun
78,Incline Push Up (Park Bench),"Incline Push Up menggunakan bangku taman sebagai permukaan yang ditinggikan untuk tangan Anda. Ini mengurangi beban pada tubuh bagian atas, menjadikannya latihan yang lebih mudah daripada push up standar, dan sangat baik untuk pemula atau sebagai pemanasan. Lakukan 3 set berisi 12 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Outdoor,Tidak,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=kYvM-xSYqQ0,Laki-laki,18-25 Tahun
79,Decline Push Up (Park Bench),"Decline Push Up menggunakan bangku taman sebagai platform untuk meletakkan kaki Anda, sehingga tubuh Anda miring ke bawah. Ini meningkatkan beban pada otot dada bagian atas dan bahu, menjadikannya variasi yang lebih menantang dari push up standar. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=kK8gZG0G02U,Laki-laki,26-35 Tahun
80,Close Grip Push Up (Outdoor),"Close Grip Push Up di lingkungan *outdoor* dilakukan dengan tangan ditempatkan dekat bersama di bawah dada. Ini secara intens menargetkan otot trisep dan dada bagian dalam, memberikan stimulus yang berbeda dari push up standar di lingkungan alam. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=v0K8C6mQ06U,Laki-laki,26-35 Tahun
81,Wide Grip Push Up (Outdoor),"Wide Grip Push Up di lingkungan *outdoor* dilakukan dengan tangan ditempatkan lebih lebar dari lebar bahu. Posisi tangan ini lebih menekankan otot dada bagian luar, membantu membentuk tampilan dada yang lebih luas. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=An-m-p0jD-Y,Laki-laki,26-35 Tahun
82,Hindu Push Up (Outdoor),"Hindu Push Up di lingkungan *outdoor* adalah variasi dinamis yang menggabungkan elemen yoga dan latihan kekuatan. Gerakannya melibatkan transisi fluida yang melatih kekuatan dada, bahu, trisep, serta meningkatkan fleksibilitas tulang belakang. Lakukan 3 set sebanyak 8 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Menjaga kesehatan,25,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=l_H8M4D_a5U,Wanita,18-25 Tahun
83,Spiderman Push Up (Outdoor),"Spiderman Push Up di lingkungan *outdoor* adalah variasi yang menantang stabilitas inti. Saat menurunkan tubuh ke bawah dalam gerakan push up, salah satu lutut ditarik ke samping ke arah siku di sisi yang sama. Ini melibatkan otot perut samping (obliques) secara intens bersamaan dengan otot dada dan bahu. Lakukan 3 set sebanyak 8 repetisi per sisi, dengan istirahat 90 detik antar set.",Kekuatan,,30,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=2e6wQ3-gH8g,Laki-laki,26-35 Tahun
84,Pike Push Up (Outdoor),"Pike Push Up di lingkungan *outdoor* adalah latihan yang sangat efektif untuk menargetkan bahu (deltoid) dan trisep. Dalam posisi ini, pinggul diangkat tinggi ke udara membentuk huruf 'V' terbalik, dan kepala diturunkan ke lantai. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik di antara set untuk fokus pada otot bahu.",Kekuatan,Meningkatkan massa otot,25,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=Lpm-jG-rI5c,Laki-laki,18-25 Tahun
85,Diamond Push Up (Outdoor),"Diamond Push Up di lingkungan *outdoor* adalah variasi push-up dengan tangan diletakkan sangat dekat di bawah dada, membentuk bentuk berlian. Variasi ini sangat menekankan otot trisep dan dada bagian dalam. Lakukan 3 set sebanyak 8 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=J0D_Ld9l6xM,Laki-laki,18-25 Tahun
86,Staggered Hand Push Up (Outdoor),"Staggered Hand Push Up di lingkungan *outdoor* melibatkan penempatan satu tangan sedikit lebih maju dari tangan lainnya. Posisi ini secara tidak merata mendistribusikan beban, menantang kekuatan unilateral pada dada dan bahu, dan meningkatkan stabilitas. Lakukan 3 set berisi 6 repetisi per sisi (ganti posisi tangan di setiap set), dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=G3c0yW7y0g8,Laki-laki,26-35 Tahun
87,Archer Push Up (Outdoor Assisted),"Archer Push Up (Assisted) di lingkungan *outdoor* adalah variasi lanjutan yang membantu membangun kekuatan untuk *one arm push up*. Dalam gerakan ini, satu lengan lurus ke samping (dengan jari-jari menyentuh tanah sebagai penyeimbang), sementara lengan lainnya melakukan push up standar. Lakukan 3 set berisi 4 repetisi per lengan, dengan istirahat 2 menit antar set karena tingkat kesulitannya.",Kekuatan,Meningkatkan massa otot,35,Outdoor,Tidak,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=P6m-0jI250k,Laki-laki,26-35 Tahun
88,Pseudo Planche Push Up (Outdoor),"Pseudo Planche Push Up di lingkungan *outdoor* adalah latihan progresif yang mempersiapkan otot untuk gerakan *planche* yang sangat sulit. Posisi tangan diputar ke belakang dengan jari-jari menghadap kaki, dan tubuh sedikit dicondongkan ke depan sehingga bahu melewati pergelangan tangan. Ini secara intens melatih bahu depan dan trisep. Lakukan 3 set berisi 5 repetisi, dengan istirahat 2 menit antar set untuk pemulihan penuh.",Kekuatan,Meningkatkan massa otot,35,Outdoor,Tidak,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=G3K8jA0V0_c,Laki-laki,26-35 Tahun
90,Fingertip Push Up (Outdoor),"Fingertip Push Up di lingkungan *outdoor* adalah latihan yang sangat menantang dan secara signifikan meningkatkan kekuatan jari serta stabilitas pergelangan tangan. Dilakukan dengan bertumpu hanya pada ujung jari, variasi ini membutuhkan kontrol dan kekuatan yang tinggi. Lakukan 3 set berisi 5 repetisi, dengan istirahat 90 detik antar set untuk pemulihan dan mencegah cedera jari.",Kekuatan,Menjaga kesehatan,25,Outdoor,Tidak,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=rX_j-x-rB0c,Laki-laki,26-35 Tahun
91,Push Up Hold (Outdoor),"Push Up Hold di lingkungan *outdoor* adalah latihan isometrik di mana Anda menahan posisi push up (baik di posisi atas, tengah, atau bawah) tanpa bergerak. Latihan ini sangat efektif untuk membangun daya tahan otot, stabilitas inti, dan kekuatan isometrik pada dada, bahu, dan trisep. Tahan posisi selama 30-60 detik per set, lakukan 3 set secara total.",Kekuatan,Meningkatkan massa otot,20,Outdoor,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=mY9z6m0g8M0,Laki-laki,18-25 Tahun
92,Elevated Feet Push Up (Outdoor Bench),"Elevated Feet Push Up menggunakan bangku taman atau struktur tinggi lainnya untuk menempatkan kaki Anda, sehingga tubuh Anda miring ke bawah. Ini secara drastis meningkatkan beban pada otot dada bagian atas dan bahu, meniru gerakan *decline bench press*. Lakukan 3 set berisi 10 repetisi, dengan istirahat 90 detik antar set untuk memungkinkan pemulihan otot yang intens.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=uK4817x66cM,Laki-laki,26-35 Tahun
93,Renegade Row Push Up (Outdoor),"Renegade Row Push Up di lingkungan *outdoor* adalah latihan komposit yang menggabungkan push-up dengan gerakan mendayung (row) menggunakan *dumbbell* atau Kettlebell. Setelah melakukan push up, Anda mengangkat satu *dumbbell* ke samping tubuh (gerakan row), kemudian ulangi di sisi lain. Ini melatih dada, bahu, trisep, punggung, dan inti secara bersamaan. Lakukan 3 set berisi 8 repetisi per sisi, dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,35,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=B7b5T1cE0sM,Laki-laki,26-35 Tahun
94,Incline Plank to Push Up (Outdoor),"Incline Plank to Push Up di lingkungan *outdoor* adalah latihan dinamis yang dimulai dari posisi plank miring (tangan di permukaan yang lebih tinggi) dan kemudian transisi ke push up. Ini efektif untuk pemula yang ingin membangun kekuatan inti dan secara bertahap membiasakan diri dengan gerakan push up di alam terbuka. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Outdoor,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=z81k8f-tT4k,Laki-laki,18-25 Tahun
95,Single Leg Push Up (Outdoor Assisted),"Single Leg Push Up (Assisted) di lingkungan *outdoor* adalah variasi push-up yang meningkatkan tantangan pada stabilitas inti dan kekuatan unilateral. Salah satu kaki diangkat dari lantai selama gerakan push up, membuat tubuh harus bekerja lebih keras untuk menjaga keseimbangan. Anda bisa menyentuh lantai dengan kaki yang diangkat untuk bantuan. Lakukan 3 set berisi 5 repetisi per kaki, dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=X-Y0_pYm2gM,Laki-laki,26-35 Tahun
96,Typewriter Push Up (Outdoor),"Typewriter Push Up di lingkungan *outdoor* adalah variasi lanjutan di mana Anda melakukan push up sambil menggeser tubuh secara horizontal dari satu tangan ke tangan lainnya, menjaga satu lengan lurus sepenuhnya. Ini membangun kekuatan eksentrik dan konsentris pada lengan yang bekerja, mempersiapkan Anda untuk *archer push up* dan *one arm push up*. Lakukan 3 set berisi 6 repetisi per sisi, dengan istirahat 2 menit antar set karena intensitasnya.",Kekuatan,Meningkatkan massa otot,35,Outdoor,Tidak,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=p49L4sU6F-s,Laki-laki,26-35 Tahun
97,Weighted Push Up (Backpack) Outdoor,"Weighted Push Up (Backpack) di lingkungan *outdoor* adalah cara efektif untuk meningkatkan intensitas push up standar dengan menambahkan beban tambahan, biasanya dalam bentuk ransel berisi buku atau barang berat lainnya. Ini membantu dalam progresif beban dan membangun massa otot yang lebih besar di alam terbuka. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik antar set untuk pemulihan yang memadai.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=MhYc-hN1uN0,Laki-laki,26-35 Tahun
98,Bridge Pull Up (Outdoor Assisted),"Bridge Pull Up adalah variasi pull up yang bisa dilakukan dengan berpegangan pada struktur jembatan rendah atau palang horizontal yang kokoh yang memungkinkan Anda untuk menjaga kaki tetap di tanah sebagai bantuan. Ini adalah cara yang baik untuk pemula untuk merasakan gerakan menarik dan membangun kekuatan punggung dan bisep. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,30,Outdoor,Tidak,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=5U64J18r12Q,Laki-laki,18-25 Tahun
99,Park Calisthenics Routine (Push/Pull),"Park Calisthenics Routine adalah program latihan gabungan yang memanfaatkan berbagai fasilitas di taman kebugaran *outdoor* seperti *pull up bar*, *parallel bar*, dan bangku. Ini dirancang untuk melatih seluruh tubuh bagian atas melalui kombinasi gerakan mendorong dan menarik. Lakukan 3-4 set dari 3-4 variasi push/pull up yang berbeda. Durasi total sekitar 45-60 menit, dengan istirahat disesuaikan antar set dan antar latihan.",Kekuatan,Meningkatkan massa otot,45,Outdoor,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=eW4sYpQc_j8,Laki-laki,26-35 Tahun
100,Stress Relief Outdoor Push/Pull,"Stress Relief Outdoor Push/Pull adalah program latihan dengan intensitas sedang yang dirancang untuk membantu mengurangi stres melalui aktivitas fisik di alam terbuka. Fokus pada pernapasan yang dalam dan gerakan yang terkontrol. Lakukan 2 set dari 5 variasi push/pull up yang Anda nikmati, dengan istirahat yang lebih fleksibel. Durasi total sekitar 30 menit, ideal untuk menyegarkan pikiran dan tubuh.",Kekuatan,Menjaga kesehatan,30,Outdoor,Ya,Semua,Kapan saja,https://www.youtube.com/watch?v=mY9z6m0g8M0,Laki-laki,18-25 Tahun
101,Jalan Kaki di Tempat,"Berjalan di tempat dengan mengangkat lutut setinggi pinggul dan mengayunkan lengan. Lakukan dengan kecepatan sedang untuk pemanasan atau kardio ringan. Lakukan 1 set, 20-30 menit.",Kardio,Menjaga kesehatan,25,Rumah,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=gC_L_SjR1rE,Semua Gender,18-25 Tahun
103,Arm Circles,"Berdiri tegak, rentangkan lengan ke samping. Buat lingkaran kecil dengan lengan ke depan dan ke belakang. Ini memanaskan bahu dan meningkatkan sirkulasi. Lakukan 3 set 15-20 repetisi per arah dengan istirahat 30 detik.",Kardio/Fleksibilitas,Menjaga kesehatan,10,Rumah,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=vV_fA3Q-tU0,Semua Gender,18-25 Tahun
104,Leg Swings (Front/Side),"Berdiri tegak, pegang penopang jika perlu. Ayunkan satu kaki ke depan dan ke belakang, lalu ke samping. Meningkatkan fleksibilitas pinggul dan detak jantung. Lakukan 3 set 10-12 repetisi per kaki, per arah, dengan istirahat 30 detik.",Kardio/Fleksibilitas,Menjaga kesehatan,15,Rumah,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=gT83JjC_QWc,Semua Gender,18-25 Tahun
105,Knee Taps,"Berdiri tegak, tekuk lutut dan sentuh lutut dengan tangan berlawanan secara bergantian. Lakukan dengan tempo cepat. Lakukan 3 set 15-20 repetisi per sisi dengan istirahat 30 detik.",Kardio,Menurunkan berat badan,15,Rumah,Tidak,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=fM49Y52B09g,Semua Gender,18-25 Tahun
106,Heel Touches,"Berbaring telentang, lutut ditekuk, kaki rata di lantai. Angkat bahu sedikit, sentuh tumit dengan ujung jari secara bergantian. Melatih inti dan meningkatkan detak jantung. Lakukan 3 set 15-20 repetisi per sisi dengan istirahat 30 detik.",Kardio/Kekuatan,Menjaga kesehatan,15,Rumah,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=l7Gk66b61tA,Semua Gender,18-25 Tahun
109,Shadow Boxing (Light),"Ayunan pukulan ringan ke udara, fokus pada gerakan kaki dan koordinasi. Meningkatkan detak jantung dan koordinasi. Lakukan 3 set 1-2 menit dengan istirahat 30 detik.",Kardio,Meningkatkan massa otot,15,Rumah,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=mY9z6m0g8M0,Semua Gender,18-25 Tahun
110,Dancing (Free Movement),"Menari bebas mengikuti musik favorit Anda. Latihan kardio yang menyenangkan dan menghilangkan stres. Lakukan 1 set, 20-30 menit.",Kardio,Menjaga Kesehatan,25,Rumah,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=0kFj2mQy8sE,Wanita,18-25 Tahun
111,Chair Cardio (Seated Exercises),"Lakukan berbagai gerakan kardio sambil duduk di kursi, seperti *seated marches*, *arm punches*, atau *leg extensions*. Ideal untuk mobilitas terbatas. Lakukan 1 set, 15-20 menit.",Kardio,Menjaga kesehatan,18,Rumah,Ya,Pemula,Kapan saja,https://www.youtube.com/watch?v=X8T-W8088r0,Semua Gender,18-25 Tahun
121,Naik-Turun Tangga,"Gunakan beberapa anak tangga rendah di area *outdoor*. Melangkah naik dan turun secara berulang. Lakukan 1 set, 15-20 menit.",Kardio,Menurunkan berat badan,18,Outdoor/dimana saja,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=z81k8f-tT4k,Semua Gender,18-25 Tahun
124,Treadmill: Jalan Kaki Santai,"Berjalan santai di treadmill dengan kecepatan rendah hingga sedang. Ideal untuk pemanasan, pendinginan, atau kardio *low-impact*. Lakukan 1 set, 20-30 menit.",Kardio,Menjaga kesehatan,25,Gym,Ya,Pemula,Kapan saja,https://www.youtube.com/watch?v=gC_L_SjR1rE,Semua Gender,18-25 Tahun
125,Sepeda Statis: Resistensi Rendah,"Bersepeda di sepeda statis dengan resistensi rendah dan irama yang nyaman. Bagus untuk kardio tanpa dampak pada sendi. Lakukan 1 set, 20-30 menit.",Kardio,Menurunkan berat badan,25,Gym,Ya,Pemula,Kapan saja,https://www.youtube.com/watch?v=b4wS9W7xQ9A,Semua Gender,18-25 Tahun
126,Elliptical: Resistensi Rendah,"Gunakan elliptical trainer dengan resistensi rendah dan gerakan yang halus. Latihan kardio seluruh tubuh yang *low-impact*. Lakukan 1 set, 20-30 menit.",Kardio,Menurunkan berat badan,25,Gym,Ya,Pemula,Kapan saja,https://www.youtube.com/watch?v=mY9z6m0g8M0,Semua Gender,18-25 Tahun
127,Mesin Dayung: Intensitas Rendah,"Duduk di mesin mesin dayung, lakukan gerakan mendayung dengan intensitas ringan dan kontrol penuh. Melatih seluruh tubuh dengan dampak rendah. Lakukan 3 set 5-10 menit dengan istirahat 60 detik.",Kardio/Kekuatan,Menurunkan berat badan,20,Gym,Ya,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=X-Y0_pYm2gM,Semua Gender,18-25 Tahun
128,Stair Climber: Kecepatan Rendah,"Gunakan mesin *stair climber* dengan kecepatan rendah. Mirip mendaki tangga, bagus untuk kaki dan kardio. Lakukan 1 set, 15-20 menit.",Kardio,Menurunkan berat badan,18,Gym,Ya,Pemula,Kapan saja,https://www.youtube.com/watch?v=z81k8f-tT4k,Semua Gender,18-25 Tahun
